"city","interval","window_m","TH_CORE","TH_WATER","TH_URBAN","BUFFER_M","TH_RURAL","K_RURAL_MAX","ELEV_TOL_M","TH_SETTLE","OTHER_SETT_BUF_M","n_urban_px","n_rural_px","n_points","lst_urban_median","lst_rural_median","suhi_delta_median_C","spearman_rho","pearson_r","entropy_iqr","entropy_sd","entropy_range","suhi_iqr","suhi_sd","suhi_range","k_xy_used","k_xy_mode","k_xy_auto","gam1_aic","gam1_aicc","gam1_dev_expl","gam1_r2_adj","gam1_edf_entropy","gam1_p_smooth_entropy","gam2_aic","gam2_aicc","gam2_dev_expl","gam2_r2_adj","gam2_edf_entropy","gam2_edf_xy","gam2_p_smooth_entropy","gam2_p_smooth_xy","analysis_role"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.1,1.5,1000,0.6,500,78558,241638,776,39.8021659851074,39.3270606994629,0.475105285644531,-0.195991438424812,-0.126974639605786,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825929373503,1.5488297969042,11.8947095870972,300,"manual",139,2869.740614329,2869.8182142459,0.025981701898645,0.022953965601139,2.40162238825398,0.000293425121175805,2409.62978143385,2506.16640069647,0.648453612722147,0.55319469518648,3.08191765746732,162.148128393472,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.1,1.5,2000,0.6,500,78558,241638,776,39.8021659851074,39.3270606994629,0.475105285644531,-0.195991438424812,-0.126974639605786,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825929373503,1.5488297969042,11.8947095870972,300,"manual",139,2869.740614329,2869.8182142459,0.025981701898645,0.022953965601139,2.40162238825398,0.000293425121175805,2409.62978143385,2506.16640069647,0.648453612722147,0.55319469518648,3.08191765746732,162.148128393472,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.1,2,2000,0.6,500,78558,400574,776,39.8021659851074,39.4911270141602,0.311038970947266,-0.195991438424812,-0.126974639891958,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825929373503,1.54882979532664,11.8947095870972,300,"manual",139,2869.74061278253,2869.81821269959,0.0259817018703085,0.0229539655757209,2.40162238587661,0.00029342512612629,2409.62977994418,2506.16639927062,0.648453612725702,0.553194695165458,3.08191766860112,162.148128417194,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.1,3,1000,0.6,500,78558,820011,776,39.8021659851074,39.5304336547852,0.271732330322266,-0.195991438424812,-0.126974640414047,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825927138329,1.54882979552283,11.8947095870972,300,"manual",139,2869.74061282672,2869.81821274391,0.025981702073635,0.0229539657727602,2.40162239134803,0.000293425102098288,2409.62978104324,2506.1663999297,0.648453612007797,0.55319469450435,3.08191767326561,162.148128069534,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.1,3,2000,0.6,500,78558,820011,776,39.8021659851074,39.5304336547852,0.271732330322266,-0.195991438424812,-0.126974640414047,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825927138329,1.54882979552283,11.8947095870972,300,"manual",139,2869.74061282672,2869.81821274391,0.025981702073635,0.0229539657727602,2.40162239134803,0.000293425102098288,2409.62978104324,2506.1663999297,0.648453612007797,0.55319469450435,3.08191767326561,162.148128069534,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.2,1.5,1000,0.6,500,78558,242826,776,39.8021659851074,39.3304786682129,0.471687316894531,-0.195991438424812,-0.126974639604337,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825929373503,1.54882979688418,11.8947095870972,300,"manual",139,2869.74061431097,2869.81821422786,0.025981701896142,0.0229539655987546,2.40162238815414,0.000293425121463298,2409.62978145677,2506.16640072978,0.648453612709974,0.55319469516527,3.08191765733839,162.148128401433,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.2,1.5,2000,0.6,500,78558,242826,776,39.8021659851074,39.3304786682129,0.471687316894531,-0.195991438424812,-0.126974639604337,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825929373503,1.54882979688418,11.8947095870972,300,"manual",139,2869.74061431097,2869.81821422786,0.025981701896142,0.0229539655987546,2.40162238815414,0.000293425121463298,2409.62978145677,2506.16640072978,0.648453612709974,0.55319469516527,3.08191765733839,162.148128401433,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.2,2,1000,0.6,500,78558,402182,776,39.8021659851074,39.4945449829102,0.307621002197266,-0.195991438424812,-0.126974639982909,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825929373503,1.54882979538352,11.8947095870972,300,"manual",139,2869.74061280805,2869.81821272511,0.025981701910496,0.0229539656148207,2.40162238683587,0.000293425121390078,2409.62978006669,2506.16639938474,0.648453612690128,0.553194695125242,3.08191766886817,162.148128410107,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.2,2,2000,0.6,500,78558,402182,776,39.8021659851074,39.4945449829102,0.307621002197266,-0.195991438424812,-0.126974639982909,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825929373503,1.54882979538352,11.8947095870972,300,"manual",139,2869.74061280805,2869.81821272511,0.025981701910496,0.0229539656148207,2.40162238683587,0.000293425121390078,2409.62978006669,2506.16639938474,0.648453612690128,0.553194695125242,3.08191766886817,162.148128410107,0,0,"ROBUSTNESS_RURAL"
"TIMISOARA","2021-2025",90,0.6,0.5,0.4,500,0.2,3,1000,0.6,500,78558,822183,776,39.8021659851074,39.5321426391602,0.270023345947266,-0.195991438424812,-0.126974640348778,0.0837705135345459,0.078719669833064,0.373607635498047,1.62825927138329,1.54882979538329,11.8947095870972,300,"manual",139,2869.74061269459,2869.81821261176,0.02598170206159,0.0229539657609192,2.401622391157,0.000293425103369216,2409.62978058,2506.16639959441,0.648453612244187,0.553194694730866,3.08191767236708,162.148128171324,0,0,"ROBUSTNESS_RURAL"
