"city","interval","window_m","TH_CORE","TH_WATER","TH_URBAN","BUFFER_M","TH_RURAL","K_RURAL_MAX","ELEV_TOL_M","TH_SETTLE","OTHER_SETT_BUF_M","n_urban_px","n_rural_px","n_points","lst_urban_median","lst_rural_median","suhi_delta_median_C","spearman_rho","pearson_r","entropy_iqr","entropy_sd","entropy_range","suhi_iqr","suhi_sd","suhi_range","k_xy_used","k_xy_mode","k_xy_auto","gam1_aic","gam1_aicc","gam1_dev_expl","gam1_r2_adj","gam1_edf_entropy","gam1_p_smooth_entropy","gam2_aic","gam2_aicc","gam2_dev_expl","gam2_r2_adj","gam2_edf_entropy","gam2_edf_xy","gam2_p_smooth_entropy","gam2_p_smooth_xy","analysis_role"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.1,1.5,1000,0.6,500,57656,141659,602,41.8632316589355,41.0958862304688,0.767345428466797,-0.30107671518356,-0.128477387663031,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166647583246,2.01870459196437,19.8552775382996,150,"manual",123,2546.28847292538,2546.39918561924,0.0284874126871802,0.0242460414051875,2.61240461083904,0.00265903741972623,2226.0269330536,2262.49482056228,0.57713699304935,0.502254290843418,4.51592759566165,85.9007313485696,8.28166337780156e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.1,1.5,2000,0.6,500,57656,151130,602,41.8632316589355,41.1967163085938,0.666515350341797,-0.30107671518356,-0.128477387098603,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166647583246,2.01870459207649,19.8552775382996,150,"manual",123,2546.28847311806,2546.39918581158,0.0284874124564776,0.0242460411849375,2.61240460381122,0.00265903755225594,2226.02693223957,2262.49481988118,0.57713699389261,0.502254291684718,4.51592759352623,85.9007315058955,8.28166397031094e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.1,2,2000,0.6,500,57656,256469,602,41.8632316589355,41.341983795166,0.521247863769531,-0.30107671518356,-0.128477387542483,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166646838188,2.01870459346792,19.8552775382996,150,"manual",123,2546.2884738939,2546.39918658739,0.0284874125407578,0.0242460412707959,2.61240460306896,0.00265903748838786,2226.02693151238,2262.49481934488,0.577136995308715,0.502254293108404,4.51592760152749,85.9007317473563,8.28166383787243e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.1,3,1000,0.6,500,57656,491434,602,41.8632316589355,41.480411529541,0.382820129394531,-0.30107671518356,-0.128477387656088,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166646838188,2.01870459059949,19.8552775382996,150,"manual",123,2546.28847203748,2546.3991847319,0.0284874128527395,0.0242460415522705,2.61240462261318,0.00265903735672479,2226.02693215577,2262.49481966295,0.577136993105678,0.502254290931155,4.51592757955166,85.9007313426925,8.28166396751873e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.1,3,2000,0.6,500,57656,557206,602,41.8632316589355,41.437686920166,0.425544738769531,-0.30107671518356,-0.128477387640645,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166646838188,2.01870459067073,19.8552775382996,150,"manual",123,2546.28847207591,2546.39918477029,0.028487412855716,0.0242460415567378,2.61240462170684,0.00265903734740319,2226.02693222727,2262.49481970324,0.57713699303256,0.502254290875734,4.51592758081316,85.900731309996,8.28166381029449e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.2,1.5,1000,0.6,500,57656,142349,602,41.8632316589355,41.1027221679688,0.760509490966797,-0.30107671518356,-0.128477387566188,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166647583246,2.0187045918482,19.8552775382996,150,"manual",123,2546.28847288112,2546.39918557489,0.0284874126403784,0.0242460413608411,2.61240460920795,0.00265903744548474,2226.02693302946,2262.49482055296,0.577136993042656,0.502254290831065,4.51592758694263,85.9007313618768,8.28166352208615e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.2,1.5,2000,0.6,500,57656,151833,602,41.8632316589355,41.2035522460938,0.659679412841797,-0.30107671518356,-0.128477387115901,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166647583246,2.01870459208292,19.8552775382996,150,"manual",123,2546.28847311663,2546.39918581017,0.0284874124659707,0.0242460411940548,2.61240460406718,0.00265903754639862,2226.02693220446,2262.49481984841,0.57713699392392,0.502254291716968,4.51592759459269,85.9007315095523,8.28166394196694e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.2,2,1000,0.6,500,57656,232333,602,41.8632316589355,41.2001342773438,0.663097381591797,-0.30107671518356,-0.128477387107388,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166647583246,2.01870459209129,19.8552775382996,150,"manual",123,2546.28847312403,2546.39918581756,0.0284874124611784,0.0242460411896177,2.61240460383646,0.00265903754868146,2226.02693221892,2262.49481986219,0.577136993916136,0.502254291708975,4.51592759439565,85.9007315085505,8.28166394981067e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.2,2,2000,0.6,500,57656,257367,602,41.8632316589355,41.347110748291,0.516120910644531,-0.30107671518356,-0.128477387543261,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166646838188,2.01870459374731,19.8552775382996,150,"manual",123,2546.28847404984,2546.39918674336,0.028487412560128,0.0242460412893768,2.61240460360503,0.00265903747515583,2226.026931584,2262.49481942284,0.577136995386171,0.50225429319519,4.51592759949017,85.9007317538938,8.28166389580942e-05,0,"ROBUSTNESS_RURAL"
"CRAIOVA","2021-2025",90,0.6,0.5,0.4,500,0.2,3,1000,0.6,500,57656,492785,602,41.8632316589355,41.482120513916,0.381111145019531,-0.30107671518356,-0.128477387632942,0.0871863067150116,0.0834618635537053,0.380691260099411,2.05166646838188,2.01870459057916,19.8552775382996,150,"manual",123,2546.28847202754,2546.39918472199,0.0284874128523149,0.0242460415505593,2.61240462340083,0.00265903736183842,2226.02693208456,2262.49481960322,0.577136993166543,0.502254290987453,4.51592758061416,85.900731357372,8.28166395725471e-05,0,"ROBUSTNESS_RURAL"
