"city","interval","window_m","TH_CORE","TH_WATER","TH_URBAN","BUFFER_M","TH_RURAL","K_RURAL_MAX","ELEV_TOL_M","TH_SETTLE","OTHER_SETT_BUF_M","n_urban_px","n_rural_px","n_points","lst_urban_median","lst_rural_median","suhi_delta_median_C","spearman_rho","pearson_r","entropy_iqr","entropy_sd","entropy_range","suhi_iqr","suhi_sd","suhi_range","k_xy_used","k_xy_mode","k_xy_auto","gam1_aic","gam1_aicc","gam1_dev_expl","gam1_r2_adj","gam1_edf_entropy","gam1_p_smooth_entropy","gam2_aic","gam2_aicc","gam2_dev_expl","gam2_r2_adj","gam2_edf_entropy","gam2_edf_xy","gam2_p_smooth_entropy","gam2_p_smooth_xy","analysis_role"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.1,1.5,1000,0.6,500,48217,63560,486,37.2967567443848,33.1677894592285,4.12896728515625,-0.400849329854916,-0.350657059567964,0.111089795827866,0.0852487334725774,0.330393493175507,4.71686753630638,3.6218895214207,21.6617007255554,140,"manual",110,2571.09727188355,2571.19666234997,0.128591127655927,0.125109192067757,1.93022802954551,0,2000.22813012357,2047.56548506899,0.814959114364698,0.771912542139846,1.93064592068483,89.602609458283,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.1,1.5,2000,0.6,500,48217,81123,486,37.2967567443848,32.668758392334,4.62799835205078,-0.400849329854916,-0.350657059866493,0.111089795827866,0.0852487334725774,0.330393493175507,4.7168675661087,3.62188952047127,21.661700963974,140,"manual",110,2571.09727146633,2571.19666193364,0.128591128024946,0.125109192406725,1.93022804695188,0,2000.22812850099,2047.56548333002,0.814959114805456,0.771912542719202,1.93064594864927,89.6026093681079,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.1,2,2000,0.6,500,48217,138432,486,37.2967567443848,32.8670043945312,4.42975234985352,-0.400849329854916,-0.350657060145278,0.111089795827866,0.0852487334725774,0.330393493175507,4.7168675661087,3.6218895183381,21.6617007255554,140,"manual",110,2571.09727080217,2571.1966612691,0.128591128155756,0.125109192551665,1.93022803943899,0,2000.22812905831,2047.56548373908,0.814959114273363,0.771912542144872,1.93064594681957,89.6026092292657,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.1,3,1000,0.6,500,48217,204697,486,37.2967567443848,33.3045082092285,3.99224853515625,-0.400849329854916,-0.350657060060695,0.111089795827866,0.0852487334725774,0.330393493175507,4.71686753630638,3.62188951719271,21.6617007255554,140,"manual",110,2571.0972705364,2571.19666100309,0.128591128060158,0.125109192464188,1.93022803474431,0,2000.2281242154,2047.5654795756,0.814959116467341,0.771912544507466,1.93064593139941,89.6026098342726,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.1,3,2000,0.6,500,48217,245252,486,37.2967567443848,32.9114379882812,4.38531875610352,-0.400849329854916,-0.350657059682661,0.111089795827866,0.0852487334725774,0.330393493175507,4.7168675661087,3.62188951831823,21.6617007255554,140,"manual",110,2571.09727097779,2571.1966614447,0.128591127829474,0.125109192224824,1.93022803902737,0,2000.22812807309,2047.56548305806,0.814959114855583,0.771912542707041,1.93064593959212,89.6026095047332,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.2,1.5,1000,0.6,500,48217,64079,486,37.2967567443848,33.1729164123535,4.12384033203125,-0.400849329854916,-0.350657059564486,0.111089795827866,0.0852487334725774,0.330393493175507,4.71686753630638,3.62188952145167,21.6617007255554,140,"manual",110,2571.09727189256,2571.19666235899,0.128591127655426,0.125109192066948,1.93022802971445,0,2000.22813014497,2047.56548508873,0.814959114358572,0.771912542132878,1.93064592101499,89.6026094569474,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.2,1.5,2000,0.6,500,48217,81730,486,37.2967567443848,32.672176361084,4.62458038330078,-0.400849329854916,-0.350657059866547,0.111089795827866,0.0852487334725774,0.330393493175507,4.7168675661087,3.62188952047189,21.661700963974,140,"manual",110,2571.09727146646,2571.19666193377,0.128591128025022,0.125109192406795,1.93022804695565,0,2000.22812850118,2047.56548333024,0.814959114805468,0.771912542719203,1.93064594865748,89.6026093681227,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.2,2,1000,0.6,500,48217,113020,486,37.2967567443848,33.3130531311035,3.98370361328125,-0.400849329854916,-0.35065706006838,0.111089795827866,0.0852487334725774,0.330393493175507,4.71686753630638,3.62188951720925,21.6617007255554,140,"manual",110,2571.09727053836,2571.19666100504,0.128591128063867,0.125109192468213,1.93022803457786,0,2000.22812421253,2047.56547957384,0.814959116470883,0.771912544511438,1.93064593113162,89.6026098352189,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.2,2,2000,0.6,500,48217,139327,486,37.2967567443848,32.8704223632812,4.42633438110352,-0.400849329854916,-0.350657060151512,0.111089795827866,0.0852487334725774,0.330393493175507,4.7168675661087,3.62188951830237,21.6617007255554,140,"manual",110,2571.09727079034,2571.19666125727,0.12859112815963,0.125109192555614,1.93022803940562,0,2000.22812905567,2047.56548373828,0.814959114271982,0.771912542142206,1.93064594681902,89.6026092309299,0,0,"ROBUSTNESS_RURAL"
"BRASOV","2021-2025",90,0.6,0.5,0.4,500,0.2,3,1000,0.6,500,48217,206191,486,37.2967567443848,33.308780670166,3.98797607421875,-0.400849329854916,-0.350657060068594,0.111089795827866,0.0852487334725774,0.330393493175507,4.71686753630638,3.62188951720979,21.6617007255554,140,"manual",110,2571.09727053843,2571.19666100511,0.128591128063993,0.125109192468343,1.9302280345759,0,2000.22812421223,2047.56547957356,0.814959116471063,0.771912544511652,1.93064593112869,89.6026098352355,0,0,"ROBUSTNESS_RURAL"
