"city","interval","window_m","TH_CORE","TH_WATER","TH_URBAN","BUFFER_M","TH_RURAL","K_RURAL_MAX","ELEV_TOL_M","TH_SETTLE","OTHER_SETT_BUF_M","n_urban_px","n_rural_px","n_points","lst_urban_median","lst_rural_median","suhi_delta_median_C","spearman_rho","pearson_r","entropy_iqr","entropy_sd","entropy_range","suhi_iqr","suhi_sd","suhi_range","k_xy_used","k_xy_mode","k_xy_auto","gam1_aic","gam1_aicc","gam1_dev_expl","gam1_r2_adj","gam1_edf_entropy","gam1_p_smooth_entropy","gam2_aic","gam2_aicc","gam2_dev_expl","gam2_r2_adj","gam2_edf_entropy","gam2_edf_xy","gam2_p_smooth_entropy","gam2_p_smooth_xy","analysis_role"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.1,1.5,1000,0.6,500,49319,74163,489,40.0414276123047,40.8344078063965,-0.792980194091797,-0.292507855819713,-0.250539673403621,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857252836227,2.05261362343894,14.4804420471191,150,"manual",111,2055.85612303113,2056.01260332327,0.08882149281315,0.0832764344816667,2.95180419435798,0,1666.19040067574,1706.05155496337,0.707571661073809,0.64725072378898,2.83112780123023,80.6179942244295,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.1,1.5,2000,0.6,500,49319,74163,489,40.0414276123047,40.8344078063965,-0.792980194091797,-0.292507855819713,-0.250539673403621,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857252836227,2.05261362343894,14.4804420471191,150,"manual",111,2055.85612303113,2056.01260332327,0.08882149281315,0.0832764344816667,2.95180419435798,0,1666.19040067574,1706.05155496337,0.707571661073809,0.64725072378898,2.83112780123023,80.6179942244295,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.1,2,2000,0.6,500,49319,134179,489,40.0414276123047,40.7557945251465,-0.714366912841797,-0.292507855819713,-0.250539673649805,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857252836227,2.05261362380652,14.4804420471191,150,"manual",111,2055.85612308638,2056.01260337866,0.0888214930462967,0.0832764347121546,2.95180419651564,0,1666.1904012161,1706.05155532403,0.707571660639076,0.647250723425821,2.83112781213514,80.6179940285967,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.1,3,1000,0.6,500,49319,288076,489,40.0414276123047,41.1163940429688,-1.07496643066406,-0.292507855819713,-0.250539672966855,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857254140079,2.0526136209113,14.4804420471191,150,"manual",111,2055.85612199875,2056.01260229028,0.0888214924480576,0.083276434133046,2.95180418446722,0,1666.19040074288,1706.05155490418,0.707571660161373,0.647250722809679,2.83112780567082,80.61799408082,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.1,3,2000,0.6,500,49319,288076,489,40.0414276123047,41.1163940429688,-1.07496643066406,-0.292507855819713,-0.250539672966855,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857254140079,2.0526136209113,14.4804420471191,150,"manual",111,2055.85612199875,2056.01260229028,0.0888214924480576,0.083276434133046,2.95180418446722,0,1666.19040074288,1706.05155490418,0.707571660161373,0.647250722809679,2.83112780567082,80.61799408082,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.2,1.5,1000,0.6,500,49319,74901,489,40.0414276123047,40.8309898376465,-0.789562225341797,-0.292507855819713,-0.250539673366786,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857252836227,2.05261362345951,14.4804420471191,150,"manual",111,2055.85612305724,2056.01260334935,0.0888214927805049,0.0832764344497671,2.95180419385853,0,1666.19040064193,1706.051554941,0.707571661113661,0.647250723827554,2.83112780092985,80.617994235623,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.2,1.5,2000,0.6,500,49319,74901,489,40.0414276123047,40.8309898376465,-0.789562225341797,-0.292507855819713,-0.250539673366786,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857252836227,2.05261362345951,14.4804420471191,150,"manual",111,2055.85612305724,2056.01260334935,0.0888214927805049,0.0832764344497671,2.95180419385853,0,1666.19040064193,1706.051554941,0.707571661113661,0.647250723827554,2.83112780092985,80.617994235623,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.2,2,1000,0.6,500,49319,135718,489,40.0414276123047,40.7540855407715,-0.712657928466797,-0.292507855819713,-0.250539673657585,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857252836227,2.05261362382455,14.4804420471191,150,"manual",111,2055.85612309239,2056.01260338466,0.0888214930509758,0.0832764347169196,2.95180419648512,0,1666.19040120226,1706.05155531005,0.707571660652325,0.647250723441839,2.83112781224021,80.6179940284489,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.2,2,2000,0.6,500,49319,135718,489,40.0414276123047,40.7540855407715,-0.712657928466797,-0.292507855819713,-0.250539673657585,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857252836227,2.05261362382455,14.4804420471191,150,"manual",111,2055.85612309239,2056.01260338466,0.0888214930509758,0.0832764347169196,2.95180419648512,0,1666.19040120226,1706.05155531005,0.707571660652325,0.647250723441839,2.83112781224021,80.6179940284489,0,0,"ROBUSTNESS_RURAL"
"CONSTANTA","2021-2025",90,0.6,0.5,0.4,500,0.2,3,1000,0.6,500,49319,290327,489,40.0414276123047,41.1112670898438,-1.06983947753906,-0.292507855819713,-0.250539673002715,0.0933892130851746,0.0840354748222109,0.39289328455925,2.49857254140079,2.05261362107009,14.4804420471191,150,"manual",111,2055.85612206067,2056.0126023522,0.0888214924739749,0.083276434158987,2.951804184538,0,1666.19040091034,1706.05155505165,0.707571660082408,0.647250722733522,2.83112780542526,80.6179940591649,0,0,"ROBUSTNESS_RURAL"
