"city","interval","scenario_id","TH_URBAN","TH_RURAL","BUFFER_M","K_RURAL_MAX","RURAL_MAX_M","ELEV_TOL_M","n_urban_px","n_rural_px","lst_urban_median","lst_rural_median","suhi_delta_median_C","window","n_points","spearman_rho","pearson_r","entropy_iqr","entropy_sd","entropy_range","suhi_iqr","suhi_sd","suhi_range","aic_null","aic_lin","aic_quad","aic_ns3","aicc_null","aicc_lin","aicc_quad","aicc_ns3","best_model","best_aicc","delta_aicc_vs_null","best_r2"
"IASI","2021-2025","U0.20_R0.10_buf500_k1.5_tol1000",0.2,0.1,500,1.5,6625.53113433321,1000,92917,199962,37.9530181884766,36.3721809387207,1.58083724975586,"H_90",940,-0.469508310853283,-0.397277526575326,0.146395355463028,0.107119491196854,0.448473125696182,3.05870064750003,2.4219531128718,17.74977786,4333.6035679932,4174.13721893362,4156.63895830652,4159.8753302556,4333.60783238552,4174.15002576393,4156.66459933216,4159.91811100427,"quad",4156.66459933216,-176.943233053359,0.175118502385628
"IASI","2021-2025","U0.20_R0.10_buf500_k1.5_tol1000",0.2,0.1,500,1.5,6625.53113433321,1000,92917,199962,37.9530181884766,36.3721809387207,1.58083724975586,"H_150",940,-0.50128074746192,-0.427261076113903,0.172267660498619,0.107550276203869,0.43812084197998,3.05870064750003,2.4219531128718,17.74977786,4333.6035679932,4146.12962917031,4130.25192549424,4133.59689662122,4333.60783238552,4146.14243600062,4130.27756651988,4133.63967736988,"quad",4130.27756651988,-203.330265865638,0.197952025015694
"IASI","2021-2025","U0.20_R0.10_buf500_k1.5_tol1000",0.2,0.1,500,1.5,6625.53113433321,1000,92917,199962,37.9530181884766,36.3721809387207,1.58083724975586,"H_300",940,-0.508930088241908,-0.447902495256358,0.192486941814423,0.109975059954895,0.409416198730469,3.05870064750003,2.4219531128718,17.74977786,4333.6035679932,4125.12379219033,4123.6113830922,4121.47767384867,4333.60783238552,4125.13659902064,4123.63702411784,4121.52045459734,"ns3",4121.52045459734,-212.087377788186,0.207092590199289
"IASI","2021-2025","U0.20_R0.10_buf500_k1.5_tol1000",0.2,0.1,500,1.5,6625.53113433321,1000,92917,199962,37.9530181884766,36.3721809387207,1.58083724975586,"H_600",940,-0.475366182151305,-0.426700221646674,0.193953394889832,0.109237788679883,0.398209571838379,3.05870064750003,2.4219531128718,17.74977786,4333.6035679932,4146.68021991593,4148.27766400743,4149.1996138328,4333.60783238552,4146.69302674624,4148.30330503307,4149.24239458147,"lin",4146.69302674624,-186.914805639281,0.182073079153321
"IASI","2021-2025","U0.30_R0.10_buf500_k1.5_tol1000",0.3,0.1,500,1.5,6625.53113433321,1000,86934,199962,38.0863189697266,36.3721809387207,1.71413803100586,"H_90",883,-0.418136010623857,-0.336980780905058,0.124991118907928,0.0928994651499904,0.401473313570023,2.952143874,2.36741014649446,17.35841457,4030.77766522971,3926.34316053198,3905.39694298269,3910.3132710406,4030.78220552483,3926.35679689561,3905.42424673695,3910.35882912716,"quad",3905.42424673695,-125.357958787878,0.13629502642014
"IASI","2021-2025","U0.30_R0.10_buf500_k1.5_tol1000",0.3,0.1,500,1.5,6625.53113433321,1000,86934,199962,38.0863189697266,36.3721809387207,1.71413803100586,"H_150",883,-0.456615046219476,-0.378440129029401,0.146645605564117,0.0960277539843808,0.407819747924805,2.952143874,2.36741014649446,17.35841457,4030.77766522971,3896.29189511193,3881.11849152191,3885.83376722433,4030.78220552483,3896.30553147557,3881.14579527618,3885.87932531089,"quad",3881.14579527618,-149.63641024865,0.159719445346152
"IASI","2021-2025","U0.30_R0.10_buf500_k1.5_tol1000",0.3,0.1,500,1.5,6625.53113433321,1000,86934,199962,38.0863189697266,36.3721809387207,1.71413803100586,"H_300",883,-0.469744474629308,-0.409069470177169,0.173076450824738,0.103351070920951,0.409416198730469,2.952143874,2.36741014649446,17.35841457,4030.77766522971,3871.07627785666,3870.90231263855,3871.77697439309,4030.78220552483,3871.08991422029,3870.92961639281,3871.82253247965,"quad",3870.92961639281,-159.852589132016,0.169385342270193
"IASI","2021-2025","U0.30_R0.10_buf500_k1.5_tol1000",0.3,0.1,500,1.5,6625.53113433321,1000,86934,199962,38.0863189697266,36.3721809387207,1.71413803100586,"H_600",883,-0.439285662057684,-0.390133034236298,0.18683198094368,0.106075350803115,0.39630526304245,2.952143874,2.36741014649446,17.35841457,4030.77766522971,3886.98113447687,3888.74719566925,3890.15434017231,4030.78220552483,3886.99477084051,3888.77449942352,3890.19989825887,"lin",3886.99477084051,-143.787434684319,0.152203784402421
"IASI","2021-2025","U0.40_R0.10_buf500_k1.5_tol1000",0.4,0.1,500,1.5,6625.53113433321,1000,81968,199962,38.1888580322266,36.3721809387207,1.81667709350586,"H_90",840,-0.413897716046546,-0.350185850459252,0.110695227980614,0.0800007120554482,0.336371093988419,2.8997627175,2.32986947584129,17.35841457,3807.78071512743,3699.88634527394,3697.9290597817,3698.52123725865,3807.78548839712,3699.9006821915,3697.95776791567,3698.56914145027,"quad",3697.95776791567,-109.827720481446,0.126753745920265
"IASI","2021-2025","U0.40_R0.10_buf500_k1.5_tol1000",0.4,0.1,500,1.5,6625.53113433321,1000,81968,199962,38.1888580322266,36.3721809387207,1.81667709350586,"H_150",840,-0.456149261170176,-0.39154041412493,0.129894763231277,0.0861851970324137,0.359147489070892,2.8997627175,2.32986947584129,17.35841457,3807.78071512743,3669.99342585342,3669.40341609331,3669.70323294422,3807.78548839712,3670.00776277099,3669.43212422728,3669.75113713584,"quad",3669.43212422728,-138.353364169832,0.155910531408692
"IASI","2021-2025","U0.40_R0.10_buf500_k1.5_tol1000",0.4,0.1,500,1.5,6625.53113433321,1000,81968,199962,38.1888580322266,36.3721809387207,1.81667709350586,"H_300",840,-0.468869954775911,-0.414362887766583,0.159933298826218,0.0978265560086497,0.389944553375244,2.8997627175,2.32986947584129,17.35841457,3807.78071512743,3651.54506839176,3653.54457070376,3655.51030741503,3807.78548839712,3651.55940530932,3653.57327883773,3655.55821160664,"lin",3651.55940530932,-156.226083087791,0.171696602758262
"IASI","2021-2025","U0.40_R0.10_buf500_k1.5_tol1000",0.4,0.1,500,1.5,6625.53113433321,1000,81968,199962,38.1888580322266,36.3721809387207,1.81667709350586,"H_600",840,-0.436000915655819,-0.387033941317053,0.185280099511147,0.103829255252251,0.39630526304245,2.8997627175,2.32986947584129,17.35841457,3807.78071512743,3673.46710968889,3674.72858273236,3676.34326571816,3807.78548839712,3673.48144660645,3674.75729086633,3676.39116990978,"lin",3673.48144660645,-134.304041790662,0.149795271731413
"IASI","2021-2025","U0.20_R0.20_buf500_k1.5_tol1000",0.2,0.2,500,1.5,6625.53113433321,1000,92917,200646,37.9530181884766,36.3764533996582,1.57656478881836,"H_90",940,-0.469508310853283,-0.397277526575326,0.146395355463028,0.107119491196854,0.448473125696182,3.05870064750003,2.4219531128718,17.74977786,4333.6035679932,4174.13721893362,4156.63895830652,4159.8753302556,4333.60783238552,4174.15002576393,4156.66459933216,4159.91811100427,"quad",4156.66459933216,-176.943233053359,0.175118502385627
"IASI","2021-2025","U0.20_R0.20_buf500_k1.5_tol1000",0.2,0.2,500,1.5,6625.53113433321,1000,92917,200646,37.9530181884766,36.3764533996582,1.57656478881836,"H_150",940,-0.50128074746192,-0.427261076113903,0.172267660498619,0.107550276203869,0.43812084197998,3.05870064750003,2.4219531128718,17.74977786,4333.6035679932,4146.12962917031,4130.25192549424,4133.59689662122,4333.60783238552,4146.14243600062,4130.27756651988,4133.63967736988,"quad",4130.27756651988,-203.330265865638,0.197952025015694
"IASI","2021-2025","U0.20_R0.20_buf500_k1.5_tol1000",0.2,0.2,500,1.5,6625.53113433321,1000,92917,200646,37.9530181884766,36.3764533996582,1.57656478881836,"H_300",940,-0.508930088241908,-0.447902495256358,0.192486941814423,0.109975059954895,0.409416198730469,3.05870064750003,2.4219531128718,17.74977786,4333.6035679932,4125.12379219033,4123.6113830922,4121.47767384867,4333.60783238552,4125.13659902064,4123.63702411784,4121.52045459734,"ns3",4121.52045459734,-212.087377788186,0.207092590199289
"IASI","2021-2025","U0.20_R0.20_buf500_k1.5_tol1000",0.2,0.2,500,1.5,6625.53113433321,1000,92917,200646,37.9530181884766,36.3764533996582,1.57656478881836,"H_600",940,-0.475366182151305,-0.426700221646674,0.193953394889832,0.109237788679883,0.398209571838379,3.05870064750003,2.4219531128718,17.74977786,4333.6035679932,4146.68021991593,4148.27766400743,4149.1996138328,4333.60783238552,4146.69302674624,4148.30330503307,4149.24239458147,"lin",4146.69302674624,-186.914805639281,0.182073079153321
"IASI","2021-2025","U0.30_R0.20_buf500_k1.5_tol1000",0.3,0.2,500,1.5,6625.53113433321,1000,86934,200646,38.0863189697266,36.3764533996582,1.70986557006836,"H_90",883,-0.418136010623857,-0.336980780905058,0.124991118907928,0.0928994651499904,0.401473313570023,2.952143874,2.36741014649446,17.35841457,4030.77766522971,3926.34316053198,3905.39694298269,3910.3132710406,4030.78220552483,3926.35679689561,3905.42424673695,3910.35882912716,"quad",3905.42424673695,-125.357958787878,0.13629502642014
"IASI","2021-2025","U0.30_R0.20_buf500_k1.5_tol1000",0.3,0.2,500,1.5,6625.53113433321,1000,86934,200646,38.0863189697266,36.3764533996582,1.70986557006836,"H_150",883,-0.456615046219476,-0.378440129029401,0.146645605564117,0.0960277539843808,0.407819747924805,2.952143874,2.36741014649446,17.35841457,4030.77766522971,3896.29189511193,3881.11849152191,3885.83376722433,4030.78220552483,3896.30553147557,3881.14579527618,3885.87932531089,"quad",3881.14579527618,-149.63641024865,0.159719445346152
"IASI","2021-2025","U0.30_R0.20_buf500_k1.5_tol1000",0.3,0.2,500,1.5,6625.53113433321,1000,86934,200646,38.0863189697266,36.3764533996582,1.70986557006836,"H_300",883,-0.469744474629308,-0.409069470177169,0.173076450824738,0.103351070920951,0.409416198730469,2.952143874,2.36741014649446,17.35841457,4030.77766522971,3871.07627785666,3870.90231263855,3871.77697439309,4030.78220552483,3871.08991422029,3870.92961639281,3871.82253247965,"quad",3870.92961639281,-159.852589132016,0.169385342270193
"IASI","2021-2025","U0.30_R0.20_buf500_k1.5_tol1000",0.3,0.2,500,1.5,6625.53113433321,1000,86934,200646,38.0863189697266,36.3764533996582,1.70986557006836,"H_600",883,-0.439285662057684,-0.390133034236298,0.18683198094368,0.106075350803115,0.39630526304245,2.952143874,2.36741014649446,17.35841457,4030.77766522971,3886.98113447687,3888.74719566925,3890.15434017231,4030.78220552483,3886.99477084051,3888.77449942352,3890.19989825887,"lin",3886.99477084051,-143.787434684319,0.152203784402421
"IASI","2021-2025","U0.40_R0.20_buf500_k1.5_tol1000",0.4,0.2,500,1.5,6625.53113433321,1000,81968,200646,38.1888580322266,36.3764533996582,1.81240463256836,"H_90",840,-0.413897716046546,-0.350185850459252,0.110695227980614,0.0800007120554482,0.336371093988419,2.8997627175,2.32986947584129,17.35841457,3807.78071512743,3699.88634527394,3697.9290597817,3698.52123725865,3807.78548839712,3699.9006821915,3697.95776791567,3698.56914145027,"quad",3697.95776791567,-109.827720481446,0.126753745920265
"IASI","2021-2025","U0.40_R0.20_buf500_k1.5_tol1000",0.4,0.2,500,1.5,6625.53113433321,1000,81968,200646,38.1888580322266,36.3764533996582,1.81240463256836,"H_150",840,-0.456149261170176,-0.39154041412493,0.129894763231277,0.0861851970324137,0.359147489070892,2.8997627175,2.32986947584129,17.35841457,3807.78071512743,3669.99342585342,3669.40341609331,3669.70323294422,3807.78548839712,3670.00776277099,3669.43212422728,3669.75113713584,"quad",3669.43212422728,-138.353364169832,0.155910531408692
